doy,OUT_SURF_TEMP,OUT_R_NET,OUT_EVAP,OUT_TRANSP_VEG,OUT_EVAP_CANOP,OUT_EVAP_BARE,OUT_PET,OUT_RUNOFF,OUT_BASEFLOW,OUT_SOIL_MOIST_L1,OUT_SOIL_MOIST_L2,OUT_SOIL_MOIST_L3
81,32.89290082107988,163.12071413215108,0.4810765319606893,0.05740148021943079,0.007596913855616628,0.41607813869312604,6.5404538140200925,0.0,0.10369183382042163,24.913107347168378,514.1648585342988,53.32062477286763
82,33.97667806740575,169.50662368842686,0.47296298075720306,0.058592955290581214,7.590365873227019e-20,0.4143700257783771,6.807797774372485,0.0,0.10225646612205161,24.47792427331809,514.1270787283878,53.218368405463714
83,33.2718412262748,162.37082265900818,0.43851233112496985,0.046596763491276255,3.9670309735188625e-37,0.3919155675320242,6.723201700238307,0.0038271244590314443,0.10085515864491951,24.192228140180276,514.0934310162094,53.11751327792003
84,33.73834550460713,162.46453557878533,0.4721411781218907,0.05472227643275152,0.008661891240001525,0.4087570103224195,7.240442477083313,3.334574767429327e-16,0.09948680606515523,23.76179662486851,514.0603831417076,53.01802642126745
85,33.6828317087502,156.9477470619833,0.4332200396806751,0.04912472920406067,7.416301262708897e-20,0.38409531115969825,7.136060688052935,0.0,0.09815029856049819,23.360373101245102,514.0285866927247,52.91987611890106
86,33.75107809361195,165.8107624011285,0.39677319732152316,0.044357913077896265,1.1254333220922445e-36,0.3524152843121816,7.011997738140542,0.0,0.09684457070343876,22.9955127457911,513.9966734303724,52.82303149268131
87,33.687466482721454,166.9189988974757,0.34192353581545937,0.03938831794034353,0.0,0.3025352175397456,6.581747022251155,0.0,0.0955686357759354,22.68628910030561,513.9639740160915,52.72746295843615
88,33.140948293459765,160.73475717804843,0.2887157164914085,0.034908877700791256,0.0,0.2538068389853288,5.9738330811728835,0.013600419094198502,0.09432156920920785,22.79139721953629,513.9322956093739,52.63314129468845
89,33.22784649765732,152.45679673572513,0.2896965298745265,0.041979146407285166,0.00183891802782528,0.2458784651381302,5.94054475753366,0.019724787978723162,0.09310248576942196,23.270222091034753,513.9016969241285,52.54003886941829
90,33.1012633129521,159.4090700853591,0.3929472161604285,0.08472295948811955,0.013236205536989084,0.2949880515709769,6.3029861426193445,2.0709144057325894e-17,0.09191053514908946,22.919962613107906,513.8722456861663,52.448128415434155
91,34.48684350809528,162.21349569401752,0.37609239716290616,0.0859750172662894,5.0195287701818536e-20,0.2901173792313905,6.599250548371266,0.0,0.09074490270817634,22.576063842048047,513.8400519624919,52.35738346454014
92,34.83266528340794,162.14791905959981,0.32402140563138065,0.06851973235679301,0.0,0.25550167308375843,6.638218201246838,0.0,0.08960480441122022,22.285190264383953,513.8069041378013,52.2677786568934
93,34.52103041109089,157.3113966649544,0.2834112592039639,0.05339356418075975,0.0,0.23001769478167458,6.661082218424053,0.0,0.08848946708038995,22.03505490983626,513.7736280300473,52.179289178826934
94,34.62411740962291,174.29192616848871,0.29155125930114434,0.05329157109079696,0.0,0.23825968798477912,7.24314190664014,0.0,0.08739812252626708,21.776666842851064,513.7404651855196,52.091891073273864
95,34.09739351592608,171.9277281963852,0.2413908154087475,0.04520689827289368,0.0,0.19618391700259694,6.612924281382721,0.0,0.08633006189665302,21.565202611671467,513.7105385014409,52.005561046685685
96,34.389187313566275,158.4800630949221,0.2004367725393046,0.038804492497134066,0.0,0.16163228005068495,6.0828489481202705,0.0,0.08528459715070515,21.394808827897315,513.6804948674486,51.92027637942525
97,35.09965047473609,166.1126917043255,0.20482468520506358,0.04073784776427294,0.0,0.16408683790007897,6.6929246515235645,0.0,0.08426103438622677,21.22211327755478,513.6483657290738,51.83601530339627
98,35.059463870071994,159.94166677590184,0.1781744000014504,0.036308500584770365,0.0,0.14186589947560055,6.460553506610111,0.0,0.08325873108868925,21.075489441020377,513.6168153323316,51.75275656467583
99,34.95162893461701,174.12198413618458,0.18119631194205044,0.03453798735172729,0.0,0.1466583247495671,7.268039871915608,0.0,0.08227708753581241,20.925220204679757,513.5858886001894,51.670479489652905
100,35.088971084663,168.07130077114576,0.16135792856089534,0.0328408931176862,0.0,0.12851703569587677,7.088486761054737,0.0,0.08131551035861043,20.79258093311216,513.5571696475581,51.5891640629011
